# t  |c1| |c2| |c3| |c4|  phase1  |c1|(30-70AU) |c1|(70-120) |c1|(120-180)
0.0008 5.389266e-10 8.448033e-05 5.493639e-09 1.738506e-06 0.7819 7.462572e-10 6.104500e-10 7.621052e-10
0.0500 4.705093e-07 3.318549e-03 3.752309e-06 4.813394e-05 1.6501 1.083194e-06 3.636193e-07 2.040210e-07
0.1000 2.390458e-06 4.218008e-03 8.621211e-06 2.831038e-04 2.4399 5.671023e-06 1.566520e-06 7.749686e-07
0.1500 5.530439e-06 4.175553e-03 5.012632e-06 2.621492e-04 -3.1384 4.027013e-05 3.425877e-05 6.370134e-05
0.2000 1.151414e-05 3.661173e-03 1.777221e-05 9.994701e-05 -2.7526 7.756943e-05 1.041150e-04 2.824222e-06
0.2500 2.837479e-05 4.211724e-03 5.190754e-05 2.560744e-04 1.5792 1.913078e-04 1.161613e-04 1.385267e-04
0.3000 1.984631e-04 4.150969e-03 7.978448e-05 1.343192e-04 1.9615 3.515179e-04 2.856069e-04 2.292518e-04
0.3500 6.578755e-04 3.297175e-03 1.434628e-04 2.431839e-04 1.7149 8.697734e-04 6.186809e-04 2.713569e-04
0.4000 1.090640e-03 2.913121e-03 1.470472e-04 3.319856e-04 2.0228 1.438623e-03 1.643561e-03 1.152909e-03
0.4500 1.382545e-03 2.970081e-03 3.635357e-04 1.933229e-04 2.1632 1.592377e-03 2.750487e-03 1.141879e-03
0.5000 2.244225e-03 3.527293e-03 6.591695e-04 4.722025e-04 2.1576 3.505640e-03 3.215875e-03 2.972642e-03
0.5500 3.698696e-03 2.778563e-03 3.084179e-04 2.792758e-04 2.1685 3.853682e-03 6.314118e-03 4.290682e-03
0.6000 5.150641e-03 1.924922e-03 2.052931e-04 8.583234e-05 2.0045 5.774530e-03 7.776090e-03 5.649591e-03
0.6500 6.555568e-03 2.052794e-03 1.770419e-04 7.220049e-04 2.0394 7.903207e-03 9.432389e-03 9.001276e-03
0.7000 7.314133e-03 2.519120e-03 2.555867e-04 8.955559e-04 2.1012 1.014902e-02 1.045445e-02 1.129433e-02
0.7500 8.039508e-03 2.958178e-03 3.401524e-04 1.278877e-03 2.1228 1.018466e-02 1.087215e-02 1.370884e-02
0.8000 8.569572e-03 3.327236e-03 2.025979e-04 8.584627e-04 2.1756 1.084252e-02 1.161671e-02 1.389660e-02
0.8500 8.136973e-03 3.095819e-03 5.638550e-04 6.369130e-04 2.2235 9.915947e-03 1.063667e-02 1.704088e-02
0.9000 9.234989e-03 3.200352e-03 2.083211e-04 7.494978e-04 2.1912 9.277893e-03 1.181683e-02 1.882300e-02
0.9500 8.600639e-03 3.197269e-03 2.395835e-04 5.723244e-04 2.3509 1.048492e-02 1.126128e-02 1.983423e-02
1.0000 1.104305e-02 2.080213e-03 4.487916e-04 8.141401e-04 2.4790 1.451574e-02 1.279935e-02 2.191991e-02
1.0500 1.171826e-02 2.231128e-03 8.128540e-05 7.080631e-04 2.5346 1.757597e-02 1.449595e-02 2.540713e-02
1.1000 1.366747e-02 1.408223e-03 3.272163e-04 9.655204e-04 2.7205 2.240090e-02 1.795250e-02 2.664062e-02
1.1500 1.612016e-02 1.755746e-03 3.335637e-04 2.340081e-04 2.7762 2.489957e-02 2.032153e-02 3.046547e-02
1.2000 1.840040e-02 1.749025e-03 5.498835e-04 3.434663e-04 2.8665 2.723015e-02 2.386569e-02 3.276910e-02
1.2500 2.081463e-02 1.470604e-03 3.566453e-04 8.546712e-04 2.9173 2.846916e-02 2.692544e-02 3.617112e-02
1.3000 2.188969e-02 1.163290e-03 2.844800e-04 1.100402e-04 2.9480 2.751649e-02 3.125548e-02 3.686419e-02
1.3500 2.384179e-02 1.191797e-03 3.391586e-04 1.804890e-04 2.9539 2.905212e-02 3.635993e-02 3.875432e-02
1.4000 2.744988e-02 8.777095e-04 1.820505e-04 3.947558e-04 2.8342 2.885490e-02 4.331793e-02 4.134760e-02
1.4500 3.177867e-02 1.162007e-03 2.996547e-04 6.009066e-04 2.8848 3.378906e-02 5.035715e-02 4.235306e-02
1.5000 3.586708e-02 1.044513e-03 1.236700e-04 6.917668e-04 2.9649 4.275589e-02 5.729341e-02 4.543768e-02
